trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.23294219,-0.20000000
1,match,1,1,0.11162606,-0.20000000
2,match,2,2,0.23113738,-0.20000000
3,match,3,3,0.16890377,-0.20000000
4,match,4,4,0.15877660,-0.20000000
5,match,5,5,0.21091613,-0.20000000
6,match,6,6,0.13915874,-0.20000000
7,match,7,7,0.18962559,0.18962559
8,match,8,8,0.37592894,0.37592894
9,match,9,9,0.68069398,0.68069398
10,match,10,10,0.68749106,0.68749106
11,match,11,11,0.71044850,0.71044850
12,match,12,12,0.55845791,0.55845791
13,match,13,13,0.39175698,0.39175698
14,match,14,14,0.57179171,0.57179171
15,match,15,15,0.77162659,0.77162659
16,match,16,16,0.67780524,0.67780524
17,gap_in_line1,,17,,
18,match,17,18,0.83579475,0.83579475
19,match,18,19,0.63581169,0.63581169
20,match,19,20,0.21804540,0.21804540
21,match,20,21,0.35209334,0.35209334
22,match,21,22,0.10669947,0.10669947
23,gap_in_line1,,23,,
24,match,22,24,0.44391000,0.44391000
25,match,23,25,0.61268640,0.61268640
26,match,24,26,0.69101971,0.69101971
27,match,25,27,0.55076730,0.55076730
28,match,26,28,0.41968644,0.41968644
29,match,27,29,0.87445205,0.87445205
30,match,28,30,0.42850387,0.42850387
31,match,29,31,0.75382531,0.75382531
32,match,30,32,0.85028088,0.85028088
33,match,31,33,0.39069906,0.39069906
34,match,32,34,0.63482928,0.63482928
35,match,33,35,0.07900843,0.07900843
36,match,34,36,0.62790930,0.62790930
37,match,35,37,0.81054091,0.81054091
38,gap_in_line2,36,,,
39,match,37,38,0.55762231,0.55762231
40,match,38,39,0.30492076,0.30492076
41,gap_in_line2,39,,,
42,match,40,40,-0.02399823,-0.02399823
43,match,41,41,0.28873062,0.28873062
44,match,42,42,0.02379428,0.02379428
45,match,43,43,0.09507656,0.09507656
46,match,44,44,0.21121123,0.21121123
47,match,45,45,0.52111995,0.52111995
48,match,46,46,0.37151849,0.37151849
49,match,47,47,0.61638343,0.61638343
50,match,48,48,0.65984207,0.65984207
51,match,49,49,0.27126682,0.27126682
52,match,50,50,0.64688325,0.64688325
53,match,51,51,0.87423056,0.87423056
54,match,52,52,0.40492985,0.40492985
55,match,53,53,0.86491174,0.86491174
56,match,54,54,0.09322935,0.09322935
57,match,55,55,0.15283141,0.15283141
58,match,56,56,0.13063425,-0.20000000
59,match,57,57,0.19955088,-0.20000000
60,match,58,58,0.16153872,-0.20000000
61,match,59,59,0.20026380,-0.20000000
62,match,60,60,0.17913416,-0.20000000
63,match,61,61,0.19271743,-0.20000000
64,match,62,62,0.23323224,-0.20000000
