trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,1.00000012,-0.20000000
1,match,1,1,1.00000012,-0.20000000
2,match,2,2,1.00000012,-0.20000000
3,match,3,3,1.00000012,-0.20000000
4,match,4,4,1.00000012,-0.20000000
5,match,5,5,1.00000012,-0.20000000
6,match,6,6,1.00000012,-0.20000000
7,match,7,7,1.00000012,1.00000012
8,match,8,8,0.64889777,0.64889777
9,match,9,9,0.51547152,0.51547152
10,match,10,10,0.28313980,0.28313980
11,match,11,11,0.44672209,0.44672209
12,match,12,12,0.46650946,0.46650946
13,gap_in_line1,,13,,
14,match,13,14,0.28872460,0.28872460
15,match,14,15,0.18235183,0.18235183
16,match,15,16,0.47149968,0.47149968
17,match,16,17,0.47909641,0.47909641
18,match,17,18,0.25875533,0.25875533
19,match,18,19,0.31261641,0.31261641
20,match,19,20,0.26977575,0.26977575
21,match,20,21,0.56103885,0.56103885
22,match,21,22,0.80284476,0.80284476
23,match,22,23,0.59086072,0.59086072
24,match,23,24,0.58078456,0.58078456
25,match,24,25,0.46154782,0.46154782
26,match,25,26,0.27870166,0.27870166
27,match,26,27,0.62272346,0.62272346
28,match,27,28,0.31797981,0.31797981
29,match,28,29,0.39210063,0.39210063
30,match,29,30,0.31537369,0.31537369
31,match,30,31,0.39189023,0.39189023
32,match,31,32,0.36914092,0.36914092
33,match,32,33,0.38607946,0.38607946
34,match,33,34,0.44669014,0.44669014
35,match,34,35,0.82110381,0.82110381
36,match,35,36,0.82965612,0.82965612
37,match,36,37,0.65112448,0.65112448
38,match,37,38,0.61721957,0.61721957
39,match,38,39,0.59257543,0.59257543
40,match,39,40,0.40022096,0.40022096
41,match,40,41,0.48122501,0.48122501
42,match,41,42,0.35719785,0.35719785
43,match,42,43,0.34628922,0.34628922
44,match,43,44,0.39542150,0.39542150
45,match,44,45,0.31866312,0.31866312
46,match,45,46,0.41312096,0.41312096
47,match,46,47,0.44043514,0.44043514
48,match,47,48,0.56862283,0.56862283
49,match,48,49,0.39401412,0.39401412
50,match,49,50,0.33927011,0.33927011
51,match,50,51,0.36259010,0.36259010
52,match,51,52,0.32046592,0.32046592
53,match,52,53,0.51967382,0.51967382
54,gap_in_line2,53,,,
55,match,54,54,0.52207005,0.52207005
56,match,55,55,1.00000012,1.00000012
57,match,56,56,1.00000012,-0.20000000
58,match,57,57,1.00000012,-0.20000000
59,match,58,58,1.00000012,-0.20000000
60,match,59,59,1.00000012,-0.20000000
61,match,60,60,1.00000012,-0.20000000
62,match,61,61,1.00000012,-0.20000000
63,match,62,62,1.00000012,-0.20000000
